Position	Team Name	Weight Class	First Name	Last Name	Gastkämpfer	Count	S	U	N		Nationality	Country	Source
1	Galaxy Judo Tigers		Manuel	Reichmann							Austria	Austria	{{Internetquelle |url=https://www.judoaustria.at/oejv-nominiert-16-judoka-fuer-die-judo-em-in-budapest/ |titel=ÖJV nominiert 16 Judoka für die Judo-EM in Budapest |werk=Judo Austria |datum=2013-04-11 |sprache=de-AT |abruf=2026-01-03}}
			ACKERL	Philipp									
			ACKERL	Thomas									
			ALLERSTORFER	Daniel									
			ANGERER	Stefan									
			ASCHABER	Anton									
			BERTAGNOLI	Martin									
			BOR	Barna									
			BRATA	Daniel									
			BüRGES	Milan									
			DOBERSBERGER	Martin									
			DRACK	Lukas									
			DRAZENOVIC	Nikola									
			DUM	Alois									
			DUMKE	Robert									
			EDER	Valentin									
			ENGEL	Patrick									
			ENGLMAIER	Tobias									
			FARKAS	Balint									
			FERCHER	Albert									
			FILEK	Rafal									
			FISCHTHALLER	Dominik									
			FROSCHAUER	Alexander									
			FURCH	Lukas									
			GARBACIK	Bartek									
			GASTEINER	Michael									
			GEIER	Gabor									
			GERMROTH	Florian									
			GERZER	Dominik									
			GRASMUGG	Marc									
			GRASSMAIR	Severin									
			GREIFENSTEIN	Martin									
			GROISS	Thomas									
			HAASMANN	Nick									
			HACKL	Florian									
			HALAS	Marian									
			HELM	Manuel									
			HERZOG	Andreas									
			HIRLET	Florin									
			HOFMANN	Lukas									
			HOFMANN	Nico									
			HUEMER	Mathias									
			HÖDL	Manuel									
			HÖLLWART	Hermann									
			IMRE	Lehel									
			IVINGER	Erich									
			JELINEK	Andreas									
			JODL	Christoph									
			JURCIK	Pavol									
			JURECKA	Alexandr									
			KAISER	Paul									
			KRONBERGER	Christoph									
			KRONBERGER	Stefan									
			KRONSCHLÄGER	Florian									
			KRPALEK	Lukas									
			KUBA	Sascha									
			KUCIARA	Stefan									
			KUDERA	Stefan									
			LANG	Dominik									
			LAZEA	Amado									
			LINDNER	Florian									
			MARIJANOVIC	Tomislav									
			MATEI	Daniel									
			MAYER	Christoph									
			MAYR	Bernhard									
			MITTERFELLNER	Andreas									
			MUSIL	Jaromir									
			MUSSNIG	Daniel									
			MÖLLINGER	Christian									
			NAKAMURA	Toshihide									
			NATEA	Ilie									
			OBERMAYR	Stefan									
			OSSIASCHWILI	Georgi									
			OSTASZEWSKI	Dominik									
			OSTASZEWSKI	Karol									
			OTT	Marcel									
			PACHER	Johannes									
			PASOLLI	Ivo									
			PETRIKOV	Pavel									
			PFEIFFER	Dino									
			PFEIFFER	Johannes									
			PFISTERMÜLLER	Peter									
			PICHLER	Christian									
			PIRCHNER	Christian									
			POLIAK	Matej									
			POPP	Philipp									
			PORA	Daniel									
			PRASCHL	Johannes									
			PRENTNER	Clemens									
			PÜHRINGER	Reinhold									
			RADLHERR	Christoph									
			RANDL	Milan									
			REICHSTEIN	Julian									
			REITER	Georg									
			REITER	Martin									
			RIBITSCH	Stephan									
			RIESS	Christian									
			RIESS	Rupert Jun									
			RUSCH	Patrick									
			RUTZENSTORFER	Christian									
			RUTZENSTORFER	Philipp									
			SCHARINGER	Peter									
			SCHAUBMAYR	Rene									
			SCHIRNHOFER	Felix									
			SCHIRNHOFER	Maximilian									
			SCHMIDHOFER	Thomas									
			SCHNEIDER	Maximilian									
			SCHNEIDER	Rene									
			SCHVARCZ	Razvan									
			SCHÖGLER	Christoph									
			SHALA	Driton									
			SLATNER	Raphael									
			SOMMERER-HINTERBICHLER	Andreas									
			SPITZER	Kevin									
			STADLBAUER	Christian									
			STEGMUELLER	Roland									
			STEINICKE	Alexander									
			STERNER	Thomas									
			STRASSER	Florian									
			STUMPF	Norbert									
			SZOKE	Laszlo									
			TIEFGRABER	Andreas									
			UNGVARI	Miklos									
			VOGEL	Amin									
			VÖTTERL	Fabio									
			WAGNER	Steffen									
			WALDHÖR	Dominik									
			WARTBICHLER	Hannes									
			WATZENBÖCK	Clemens									
			WEICHINGER	Alexander									
			WEIDLINGER	Lukas									
			WEISS	Christoph									
			WEIXELBAUMER	Tobias									
			WEIßSTEINER	Bernhard									
			WIMBERGER	Markus									
			WIMBERGER	Matthias									
			WINDBICHLER	Tobias									
			ZACHAR	Christian									
			ZEHENTNER	David									
			ZEHETNER	Jan									
